Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Headache with fever,Shiroroga,Seasonal,Ageing,Vata and Pitta
Dizziness during fever,Kālaja Jvara,Seasonal,Ageing,Vata
Weakness in limbs,Kālaja Vyadhi,Seasonal,Ageing,Vata
Sneezing episodes,Pratishyaya,Seasonal,Ageing,Vata and Kapha
Wheezing sound,Shvāsa,Seasonal,Ageing,Vata and Kapha
Vomiting with fever,Chhardi,Seasonal,Ageing,Pitta
Swelling of glands,Shotha,Seasonal,Ageing,Kapha
Skin rash,Pittaja Jvara,Seasonal,Ageing,Pitta
Itchy skin,Kushtha,Seasonal,Ageing,Pitta and Kapha
Red eyes,Netra Roga,Seasonal,Ageing,Pitta
Excessive tearing,Netra Roga,Seasonal,Ageing,Kapha
Anxiety during fever,Chittodvega,Seasonal,Ageing,Vata
Depressed mood,Vishada,Seasonal,Ageing,Vata and Kapha
Swelling in legs,Shotha,Seasonal,Ageing,Kapha
Seasonal asthma attacks,Shvāsa,Seasonal,Ageing,Vata and Kapha
Skin dryness,Rukshata,Seasonal,Ageing,Vata
Weak digestion,Ajeerna,Seasonal,Ageing,Kapha
Low energy levels,Kālaja Vyadhi,Seasonal,Ageing,Vata
Wrinkled skin,Jarā Roga,Seasonal,Ageing,Vata
Greying hair,Palitya,Seasonal,Ageing,Pitta
Baldness,Khalitya,Seasonal,Ageing,Vata and Pitta
Loose skin,Jarā Roga,Seasonal,Ageing,Vata
Skin thinning,Jarā Roga,Seasonal,Ageing,Vata
Decreased skin elasticity,Jarā Roga,Seasonal,Ageing,Vata
Thickened nails,Nakha Vikriti,Seasonal,Ageing,Kapha
Tooth loss,Danta Nashana,Seasonal,Ageing,Vata
Tooth decay,Danta Vikriti,Seasonal,Ageing,Kapha
Gum recession,Dantamula Vikriti,Seasonal,Ageing,Vata
Weak eyesight,Timira,Seasonal,Ageing,Vata and Pitta
Cataract,Linga Nasha,Seasonal,Ageing,Kapha
Hearing loss,Badhirya,Seasonal,Ageing,Vata
Tinnitus,Karna Nada,Seasonal,Ageing,Vata
Slow thinking,Medha Hani,Seasonal,Ageing,Vata
Sleep disturbance,Nidranasha,Seasonal,Ageing,Vata
Arthritis,Amavata,Seasonal,Ageing,Vata and Kapha
Reduced muscle mass,Mamsa Kshaya,Seasonal,Ageing,Vata
Bone fragility,Asthi Kshaya,Seasonal,Ageing,Vata
Osteoporosis,Asthi Kshaya,Seasonal,Ageing,Vata
Weak heart,Hridaya Vyadhi,Seasonal,Ageing,Vata
High blood pressure,Raktagata Vata,Seasonal,Ageing,Vata
Diabetes tendency,Prameha,Seasonal,Ageing,Kapha
Weak immunity,Oja Kshaya,Seasonal,Ageing,Vata and Kapha
Voice weakness,Swara Bheda,Seasonal,Ageing,Vata
Irritability,Manasika Roga,Seasonal,Ageing,Pitta
Loss of enthusiasm,Manasika Roga,Seasonal,Ageing,Vata
Childhood bedwetting,Mutrakricchra,Natural,Svabhavaja,Vata
Milk indigestion in infants,Ajeerna,Natural,Svabhavaja,Kapha
Frequent crying in infants,Bala Vyadhi,Natural,Svabhavaja,Vata
Teething pain,Dantodbheda,Natural,Svabhavaja,Kapha
Fever during teething,Dantodbheda Jvara,Natural,Svabhavaja,Pitta
Loss of appetite in children,Agnimandya,Natural,Svabhavaja,Kapha
Abdominal bloating in children,Adhmana,Natural,Svabhavaja,Vata
Loose stools in children,Atisara,Natural,Svabhavaja,Pitta
Frequent colds,Pratishyaya,Natural,Svabhavaja,Kapha
Recurrent cough,Kasa,Natural,Svabhavaja,Vata and Kapha
Seasonal skin rashes,Kushtha,Natural,Svabhavaja,Pitta
Itchy skin patches,Vicharchika,Natural,Svabhavaja,Pitta and Kapha
Weak digestion in youth,Ajeerna,Natural,Svabhavaja,Kapha
Overeating tendency,Ati Bhojana,Natural,Svabhavaja,Kapha
Vomiting after overeating,Chhardi,Natural,Svabhavaja,Pitta
Adolescent acne,Mukhadushika,Natural,Svabhavaja,Pitta
Oily skin,Kapha Vikriti,Natural,Svabhavaja,Kapha
Growth spurts,Sharira Vriddhi,Natural,Svabhavaja,Kapha
Voice change in puberty,Swarabheda,Natural,Svabhavaja,Vata
Mood swings in adolescence,Manasika Roga,Natural,Svabhavaja,Pitta
Menstrual onset (menarche),Artava Pravritti,Natural,Svabhavaja,Pitta
Irregular cycles in early years,Artava Vyapad,Natural,Svabhavaja,Vata
Mild menstrual cramps,Kashtartava,Natural,Svabhavaja,Vata
Breast development pain,Stanya Vikara,Natural,Svabhavaja,Kapha
Increased appetite in teens,Kshudha Vriddhi,Natural,Svabhavaja,Pitta
Excess sleep in youth,Nidra Adhikya,Natural,Svabhavaja,Kapha
Daytime drowsiness,Tandra,Natural,Svabhavaja,Kapha
Premature ejaculation in young men,Shukra Dushti,Natural,Svabhavaja,Vata
Low sperm count,Shukra Kshaya,Natural,Svabhavaja,Vata
Mild infertility tendencies,Vandhyatva,Natural,Svabhavaja,Vata
Hair fall after stress,Indralupta,Natural,Svabhavaja,Vata and Pitta
Early greying of hair,Palitya,Natural,Svabhavaja,Pitta
Fatigue from overexertion,Sharma Kshaya,Natural,Svabhavaja,Vata
Muscle cramps after exercise,Mamsa Kshaya,Natural,Svabhavaja,Vata
Loss of energy after sexual excess,Shukra Kshaya,Natural,Svabhavaja,Vata
Mild back pain from posture,Katigraha,Natural,Svabhavaja,Vata
Neck stiffness from strain,Manyagraha,Natural,Svabhavaja,Vata
Mild joint pain with exertion,Sandhigata Vata,Natural,Svabhavaja,Vata
Dry eyes from fatigue,Netra Shosha,Natural,Svabhavaja,Vata
Headache after sun exposure,Pittaja Shiroroga,Natural,Svabhavaja,Pitta
Dizziness from hunger,Trishna Janya Vyadhi,Natural,Svabhavaja,Vata
Palpitations after exertion,Hridaya Roga,Natural,Svabhavaja,Vata
Loss of strength in old age,Jarā Roga,Natural,Svabhavaja,Vata
Wrinkled skin in ageing,Jarā Roga,Natural,Svabhavaja,Vata
Reduced vision in ageing,Timira,Natural,Svabhavaja,Vata and Pitta
Hearing decline in ageing,Badhirya,Natural,Svabhavaja,Vata
Tooth loss in ageing,Danta Nashana,Natural,Svabhavaja,Vata
Sleep disturbance in ageing,Nidranasha,Natural,Svabhavaja,Vata
Forgetfulness in ageing,Smriti Bhramsha,Natural,Svabhavaja,Vata
Tremors in ageing,Kampavata,Natural,Svabhavaja,Vata
Joint stiffness in ageing,Sandhigata Vata,Natural,Svabhavaja,Vata
Fatigue in ageing,Jarā Roga,Natural,Svabhavaja,Vata
Excess body fat,Sthaulya,Over-nutrition,Santarpanajanya,Kapha
Overweight,Sthaulya,Over-nutrition,Santarpanajanya,Kapha
Bulky abdomen,Sthaulya,Over-nutrition,Santarpanajanya,Kapha
Fatigue after eating,Ajeerna,Over-nutrition,Santarpanajanya,Kapha
Slow digestion,Ajeerna,Over-nutrition,Santarpanajanya,Kapha
Sweet taste in mouth,Madhura Asyata,Over-nutrition,Santarpanajanya,Kapha
Laziness,Alasya,Over-nutrition,Santarpanajanya,Kapha
Snoring,Shvāsa,Over-nutrition,Santarpanajanya,Kapha
Chest heaviness,Urah Gaurava,Over-nutrition,Santarpanajanya,Kapha
Low stamina,Bala Hani,Over-nutrition,Santarpanajanya,Kapha
Swelling in joints,Shotha,Over-nutrition,Santarpanajanya,Kapha
Difficulty walking,Gati Vikriti,Over-nutrition,Santarpanajanya,Kapha
Reduced flexibility,Stambha,Over-nutrition,Santarpanajanya,Kapha
Sweet urine,Prameha,Over-nutrition,Santarpanajanya,Kapha
Hyperlipidemia,Meda Dushti,Over-nutrition,Santarpanajanya,Kapha
Fatty liver,Yakrit Vriddhi,Over-nutrition,Santarpanajanya,Kapha
Abdominal heaviness,Udar Gaurava,Over-nutrition,Santarpanajanya,Kapha
Bloating,Adhmana,Over-nutrition,Santarpanajanya,Kapha
Acidity,Amlapitta,Over-nutrition,Santarpanajanya,Pitta
Heartburn,Amlapitta,Over-nutrition,Santarpanajanya,Pitta
Skin darkening,Charmavikriti,Over-nutrition,Santarpanajanya,Pitta and Kapha
Skin tags,Charmavikriti,Over-nutrition,Santarpanajanya,Kapha
Excessive hair fall,Indralupta,Over-nutrition,Santarpanajanya,Kapha
Oily scalp,Kapha Vikriti,Over-nutrition,Santarpanajanya,Kapha
Pimples,Mukhadushika,Over-nutrition,Santarpanajanya,Pitta and Kapha
Acne scars,Mukhadushika,Over-nutrition,Santarpanajanya,Pitta
Breathlessness on exertion,Shvāsa,Over-nutrition,Santarpanajanya,Kapha
Liver enlargement,Yakrit Vriddhi,Over-nutrition,Santarpanajanya,Kapha
Spleen enlargement,Pliha Vriddhi,Over-nutrition,Santarpanajanya,Kapha
Edema in legs,Shotha,Over-nutrition,Santarpanajanya,Kapha
Swelling of face,Shotha,Over-nutrition,Santarpanajanya,Kapha
Swelling of abdomen,Jalodara,Over-nutrition,Santarpanajanya,Kapha
Water retention,Jalodara,Over-nutrition,Santarpanajanya,Kapha
Sluggish metabolism,Agni Mandya,Over-nutrition,Santarpanajanya,Kapha
Tiredness after little work,Alasya,Over-nutrition,Santarpanajanya,Kapha
Poor concentration,Medha Hani,Over-nutrition,Santarpanajanya,Kapha
Memory weakness,Smriti Hani,Over-nutrition,Santarpanajanya,Kapha
Mood swings,Manovikriti,Over-nutrition,Santarpanajanya,Kapha
Low libido,Shukra Dushti,Over-nutrition,Santarpanajanya,Kapha
Erectile dysfunction,Shukra Dushti,Over-nutrition,Santarpanajanya,Kapha
Irregular menstruation,Artava Vyapad,Over-nutrition,Santarpanajanya,Kapha
Polycystic ovarian tendency,Artava Vyapad,Over-nutrition,Santarpanajanya,Kapha
Varicose veins,Sira Dushti,Over-nutrition,Santarpanajanya,Kapha
Susceptibility to infections,Oja Kshaya,Over-nutrition,Santarpanajanya,Kapha
Excessive urination,Prameha,Over-nutrition,Santarpanajanya,Kapha
Dryness of mouth,Mukha Shosha,Over-nutrition,Santarpanajanya,Kapha
Foul smell from mouth,Mukha Durgandha,Over-nutrition,Santarpanajanya,Kapha
Craving for sweets,Madhura Asyata,Over-nutrition,Santarpanajanya,Kapha
Craving for oily foods,Kapha Vriddhi,Over-nutrition,Santarpanajanya,Kapha
Excessive body heat,Pittaja Vikriti,Over-nutrition,Santarpanajanya,Pitta
Burning soles and palms,Pittaja Vikriti,Over-nutrition,Santarpanajanya,Pitta
Drowsiness after meals,Tandra,Over-nutrition,Santarpanajanya,Kapha
Early fatigue,Bala Hani,Over-nutrition,Santarpanajanya,Kapha
Severe weight loss,Karshya,Under-nutrition,Apatarpanajanya,Vata
General emaciation,Kshaya,Under-nutrition,Apatarpanajanya,Vata
Loss of body fat,Meda Kshaya,Under-nutrition,Apatarpanajanya,Vata
Sunken cheeks,Karshya,Under-nutrition,Apatarpanajanya,Vata
Prominent bones,Asthi Kshaya,Under-nutrition,Apatarpanajanya,Vata
Cracked skin,Rukshata,Under-nutrition,Apatarpanajanya,Vata
Hair fall,Indralupta,Under-nutrition,Apatarpanajanya,Vata
Brittle hair,Kesha Vikriti,Under-nutrition,Apatarpanajanya,Vata
Pale nails,Nakha Vikriti,Under-nutrition,Apatarpanajanya,Pitta
Incomplete evacuation,Anaha,Under-nutrition,Apatarpanajanya,Vata
Abdominal pain,Shoola,Under-nutrition,Apatarpanajanya,Vata
General weakness,Bala Hani,Under-nutrition,Apatarpanajanya,Vata
Loss of strength,Bala Kshaya,Under-nutrition,Apatarpanajanya,Vata
Vertigo,Bhrama,Under-nutrition,Apatarpanajanya,Vata
Cold hands and feet,Sheetata,Under-nutrition,Apatarpanajanya,Vata
Body stiffness,Stambha,Under-nutrition,Apatarpanajanya,Vata
Joint cracking,Sandhigata Vata,Under-nutrition,Apatarpanajanya,Vata
Bone pain,Asthi Shoola,Under-nutrition,Apatarpanajanya,Vata
Tooth weakness,Danta Kshaya,Under-nutrition,Apatarpanajanya,Vata
Frequent infections,Oja Kshaya,Under-nutrition,Apatarpanajanya,Vata
Delayed growth,Bala Kshaya,Under-nutrition,Apatarpanajanya,Vata
Stunted growth,Karshya,Under-nutrition,Apatarpanajanya,Vata
Scanty menstruation,Artava Kshaya,Under-nutrition,Apatarpanajanya,Vata
Amenorrhea,Artava Nasha,Under-nutrition,Apatarpanajanya,Vata
Mental weakness,Manasika Kshaya,Under-nutrition,Apatarpanajanya,Vata
Light sleep,Alpa Nidra,Under-nutrition,Apatarpanajanya,Vata
Restless sleep,Nidranasha,Under-nutrition,Apatarpanajanya,Vata
Nightmares,Swapna Dosha,Under-nutrition,Apatarpanajanya,Vata
Dry tongue,Jivha Shosha,Under-nutrition,Apatarpanajanya,Vata
Dry throat,Kantha Shosha,Under-nutrition,Apatarpanajanya,Vata
Low body temperature,Sheetata,Under-nutrition,Apatarpanajanya,Vata
Chronic tiredness,Kshaya,Under-nutrition,Apatarpanajanya,Vata
Poor coordination,Gati Vikriti,Under-nutrition,Apatarpanajanya,Vata
Unsteady gait,Gati Vikriti,Under-nutrition,Apatarpanajanya,Vata
Trembling hands,Kampavata,Under-nutrition,Apatarpanajanya,Vata
Dry stool,Anaha,Under-nutrition,Apatarpanajanya,Vata
Weak pulse,Durbala Nadi,Under-nutrition,Apatarpanajanya,Vata
Chills,Jvara,Somatic,Śārīrika,Vata
Fainting,Murchha,Somatic,Śārīrika,Vata and Pitta
Weight loss,Kshaya,Somatic,Śārīrika,Vata and Pitta
Weight gain,Sthoulya,Somatic,Śārīrika,Kapha
Yellow eyes,Kamala,Somatic,Śārīrika,Pitta
Burning urination,Mutrakrichra,Somatic,Śārīrika,Pitta
Scanty urination,Mutraghata,Somatic,Śārīrika,Vata
Urine retention,Mutraghata,Somatic,Śārīrika,Vata
Diabetes,Prameha,Somatic,Śārīrika,Pitta and Kapha
Thirst,Trishna,Somatic,Śārīrika,Vata and Pitta
Excess hunger,Kshudha,Somatic,Śārīrika,Vata
Diarrhea,Atisara,Somatic,Śārīrika,Pitta
Bloody stools,Raktatisara,Somatic,Śārīrika,Pitta
Mucus in stool,Atisara,Somatic,Śārīrika,Kapha
Hemorrhoids,Arsha,Somatic,Śārīrika,Vata and Pitta
Anal pain,Arsha,Somatic,Śārīrika,Vata
Rectal bleeding,Arsha,Somatic,Śārīrika,Pitta
Gas,Adhmana,Somatic,Śārīrika,Vata
Bad breath,Durgandha,Somatic,Śārīrika,Kapha
Hiccups,Hikka,Somatic,Śārīrika,Vata
Cough,Shvāsa,Somatic,Śārīrika,Kapha
Wet cough,Kasa,Somatic,Śārīrika,Kapha
Asthma,Shvāsa,Somatic,Śārīrika,Vata and Kapha
Cold,Pratishyaya,Somatic,Śārīrika,Kapha
Hoarseness,Swarabheda,Somatic,Śārīrika,Kapha
Loss of voice,Swarabheda,Somatic,Śārīrika,Vata
Ear pain,Karnashoola,Somatic,Śārīrika,Vata
Eye redness,Netra Abhishyanda,Somatic,Śārīrika,Pitta
Eye pain,Netra Shoola,Somatic,Śārīrika,Vata and Pitta
Dry eyes,Shushkakshipaka,Somatic,Śārīrika,Vata
Watery eyes,Abhishyanda,Somatic,Śārīrika,Kapha
Conjunctivitis,Abhishyanda,Somatic,Śārīrika,Pitta
Itching,Kandu,Somatic,Śārīrika,Kapha
Dark patches,Shvitra,Somatic,Śārīrika,Kapha
Hives,Sheetapitta,Somatic,Śārīrika,Vata and Pitta
Boils,Pidaka,Somatic,Śārīrika,Pitta
Acne,Yuvana Pidaka,Somatic,Śārīrika,Kapha
Dandruff,Indralupta,Somatic,Śārīrika,Kapha
Grey hair,Palitya,Somatic,Śārīrika,Vata and Pitta
Swollen joints,Sandhigata Vata,Somatic,Śārīrika,Kapha
Neck pain,Grivashoola,Somatic,Śārīrika,Vata
Muscle cramps,Mamsagata Vata,Somatic,Śārīrika,Vata
Numbness,Supti,Somatic,Śārīrika,Vata
Tingling,Supti,Somatic,Śārīrika,Vata
Seizures,Apasmara,Somatic,Śārīrika,Vata
Convulsions,Apasmara,Somatic,Śārīrika,Vata
Excess sleep,Nidra Atiyoga,Somatic,Śārīrika,Kapha
Swelling,Shotha,Somatic,Śārīrika,Kapha
Gallstones,Pittashmari,Somatic,Śārīrika,Pitta
Kidney stones,Mutrashmari,Somatic,Śārīrika,Vata
Urinary tract infection,Mutrakrichra,Somatic,Śārīrika,Pitta
Scanty bleeding,Artava Kshaya,Somatic,Śārīrika,Vata
White discharge,Shweta Pradara,Somatic,Śārīrika,Kapha
Breast lumps,Stana Granthi,Somatic,Śārīrika,Kapha
Infant colic,Shoola,Somatic,Śārīrika,Vata
Poor immunity,Ojakshaya,Somatic,Śārīrika,Tridosha
Chronic fatigue,Ojakshaya,Somatic,Śārīrika,Vata and Kapha
Loss of taste,Rasa Agnimandya,Somatic,Śārīrika,Kapha
Metallic taste,Rasa Vaishamya,Somatic,Śārīrika,Pitta
Lack of sweating,Aswedanam,Somatic,Śārīrika,Vata
Body odor,Dourgandhya,Somatic,Śārīrika,Kapha
Goiter,Galganda,Somatic,Śārīrika,Kapha
Thyroid swelling,Galganda,Somatic,Śārīrika,Kapha
High fever,Jvara,Somatic,Śārīrika,Pitta
Recurrent fever,Jvara,Somatic,Śārīrika,Vata and Pitta
Intermittent fever,Jvara,Somatic,Śārīrika,Vata
Asthma attacks,Shvāsa,Somatic,Śārīrika,Vata and Kapha
Eye burning,Netra Daha,Somatic,Śārīrika,Pitta
Burning skin sensation,Pittaja Kushta,Somatic,Śārīrika,Pitta
Shoulder pain,Apabahuka,Somatic,Śārīrika,Vata
Knee pain,Janu Shoola,Somatic,Śārīrika,Vata
Hip pain,Kati Shoola,Somatic,Śārīrika,Vata
Muscle twitching,Sphurana,Somatic,Śārīrika,Vata
Gum disease,Dantamula Roga,Somatic,Śārīrika,Kapha
Blood in urine,Raktameha,Somatic,Śārīrika,Pitta
Kidney pain,Mutravaha Shoola,Somatic,Śārīrika,Vata
Menstrual cramps,Kashtartava,Somatic,Śārīrika,Vata
Heavy menstruation,Rakta Pradara,Somatic,Śārīrika,Pitta
Tiredness after exertion,Kshaya,Somatic,Śārīrika,Vata
Swelling of legs,Shotha,Somatic,Śārīrika,Kapha
Generalized edema,Jalodara,Somatic,Śārīrika,Kapha
Premature ageing,Jarā Roga,Somatic,Śārīrika,Vata
Hallucinations,Unmada,Somatic,Śārīrika,Vata
Sweating with weakness,Atisveda,Somatic,Śārīrika,Pitta
Muscle wasting,Mamsa Kshaya,Somatic,Śārīrika,Vata
Fear,Bhaya,Mental,Mānāsika,Vata
Excessive worry,Chinta,Mental,Mānāsika,Vata
Restlessness,Manovyatha,Mental,Mānāsika,Vata
Anger,Krodha,Mental,Mānāsika,Pitta
Aggression,Ugra Manas,Mental,Mānāsika,Pitta
Impatience,Ashanti,Mental,Mānāsika,Pitta
Jealousy,Irshya,Mental,Mānāsika,Pitta
Sadness,Vishada,Mental,Mānāsika,Kapha
Hopelessness,Vishada,Mental,Mānāsika,Kapha
Excessive attachment,Raga,Mental,Mānāsika,Kapha
Emotional dullness,Staimitya,Mental,Mānāsika,Kapha
Apathy,Aversion,Mental,Mānāsika,Kapha
Psychosis,Unmada,Mental,Mānāsika,Vata and Pitta
Delusions,Unmada,Mental,Mānāsika,Vata
Paranoia,Unmada,Mental,Mānāsika,Vata
Obsessions,Manovikara,Mental,Mānāsika,Vata
Compulsions,Manovikara,Mental,Mānāsika,Vata and Kapha
Disturbed sleep,Swapna Vaishamya,Mental,Mānāsika,Vata
Daydreaming,Manas Chanchalya,Mental,Mānāsika,Vata
Forgetfulness,Smriti Bhramsha,Mental,Mānāsika,Vata
Poor memory,Smriti Kshaya,Mental,Mānāsika,Vata
Lack of concentration,Dhriti Bhramsha,Mental,Mānāsika,Vata
Inattention,Avadhi Bhramsha,Mental,Mānāsika,Vata
Difficulty in decision-making,Dhriti Kshaya,Mental,Mānāsika,Vata
Indecisiveness,Dhriti Vaishamya,Mental,Mānāsika,Vata
Lack of clarity,Moham,Mental,Mānāsika,Kapha
Mental fatigue,Manas Kshaya,Mental,Mānāsika,Vata
Low confidence,Dhairya Hani,Mental,Mānāsika,Kapha
Inferiority feeling,Manas Vaikalya,Mental,Mānāsika,Kapha
Excessive pride,Ahankara,Mental,Mānāsika,Pitta
Arrogance,Mada,Mental,Mānāsika,Pitta
Greed,Lobha,Mental,Mānāsika,Kapha
Possessiveness,Raga,Mental,Mānāsika,Kapha
Selfishness,Atma-Sneha,Mental,Mānāsika,Kapha
Overthinking,Chinta Atiyoga,Mental,Mānāsika,Vata
Mental instability,Manas Vaishamya,Mental,Mānāsika,Vata
Disorientation,Sammoha,Mental,Mānāsika,Vata
Delirium,Moha,Mental,Mānāsika,Pitta
Fear of death,Mrityu Bhaya,Mental,Mānāsika,Vata
Social withdrawal,Manas Vairagya,Mental,Mānāsika,Kapha
Loneliness,Manas Shunyata,Mental,Mānāsika,Vata
Lack of motivation,Utsaha Hani,Mental,Mānāsika,Kapha
Excessive enthusiasm,Utsaha Atiyoga,Mental,Mānāsika,Pitta
Addictive behavior,Abhyasa Dosha,Mental,Mānāsika,Vata and Kapha
Procrastination,Karma Virati,Mental,Mānāsika,Kapha
Excessive speech,Ati Bhasha,Mental,Mānāsika,Vata
Reduced speech,Mouna Vaishamya,Mental,Mānāsika,Kapha
Talking to self,Unmada,Mental,Mānāsika,Vata
Crying spells,Rodanam,Mental,Mānāsika,Vata and Kapha
Laughter spells,Hasa Vaishamya,Mental,Mānāsika,Vata and Pitta
Lack of willpower,Dhriti Hani,Mental,Mānāsika,Vata
Distractibility,Manas Chanchalatva,Mental,Mānāsika,Vata
Poor judgment,Viveka Hani,Mental,Mānāsika,Vata
Suspicion,Shanka,Mental,Mānāsika,Vata
Lack of emotional control,Manovyadhi,Mental,Mānāsika,Vata and Pitta
Low self-esteem,Atma Hani,Mental,Mānāsika,Kapha
Guilt feeling,Apakarma Smriti,Mental,Mānāsika,Pitta
Remorse,Shoka,Mental,Mānāsika,Kapha
Excessive grief,Shoka Atiyoga,Mental,Mānāsika,Vata
Shock,Mano-Vega,Mental,Mānāsika,Vata
Mental confusion in stress,Manas Kshobha,Mental,Mānāsika,Vata and Pitta
Hyperactivity,Chapala,Mental,Mānāsika,Vata
Inertia,Staimitya,Mental,Mānāsika,Kapha
Obsessive guilt,Manas Vikar,Mental,Mānāsika,Pitta
Violent behavior,Unmada,Mental,Mānāsika,Pitta
Fear of darkness,Tamas Bhaya,Mental,Mānāsika,Vata and Kapha
Stress headache,Shirashoola,Psychosomatic,Manodaihika,Vata and Pitta
Tension headache,Shirashoola,Psychosomatic,Manodaihika,Vata
Migraine worsened by stress,Ardhavabhedaka,Psychosomatic,Manodaihika,Vata and Pitta
Rapid heartbeat,Hridroga,Psychosomatic,Manodaihika,Vata and Pitta
Irritable bowel syndrome,Grahani,Psychosomatic,Manodaihika,Vata and Pitta
Abdominal cramping,Shoola,Psychosomatic,Manodaihika,Vata
Sweaty palms,Swedadhikya,Psychosomatic,Manodaihika,Pitta
Body aches,Angamarda,Psychosomatic,Manodaihika,Vata
Muscle tension,Mamsa Ruk,Psychosomatic,Manodaihika,Vata
Psoriasis flare,Kustha,Psychosomatic,Manodaihika,Vata and Kapha
Eczema flare,Kustha,Psychosomatic,Manodaihika,Pitta and Kapha
Appetite fluctuations,Kshudha Vaishamya,Psychosomatic,Manodaihika,Vata
Ulcers,Parinama Shoola,Psychosomatic,Manodaihika,Pitta
Stress ulcers,Amlapitta,Psychosomatic,Manodaihika,Pitta
Sexual dysfunction,Klaibya,Psychosomatic,Manodaihika,Vata and Kapha
Premenstrual tension,Striroga,Psychosomatic,Manodaihika,Pitta and Kapha
Asthma triggered by stress,Shvāsa,Psychosomatic,Manodaihika,Vata and Kapha
Hyperventilation,Shvāsa Atiyoga,Psychosomatic,Manodaihika,Vata
Memory lapses,Smriti Bhramsha,Psychosomatic,Manodaihika,Vata
Nervousness,Chittodvega,Psychosomatic,Manodaihika,Vata
Anxiety attacks,Chittodvega,Psychosomatic,Manodaihika,Vata
Panic episodes,Chittodvega Atiyoga,Psychosomatic,Manodaihika,Vata
Obsessive thoughts,Manovikara,Psychosomatic,Manodaihika,Vata
Compulsive behavior,Manovikara,Psychosomatic,Manodaihika,Vata and Kapha
Fear of illness,Bhaya,Psychosomatic,Manodaihika,Vata
Work burnout,Manas Kshaya,Psychosomatic,Manodaihika,Vata
Weakened immunity,Ojakshaya,Psychosomatic,Manodaihika,Tridosha
Uncontrolled diabetes,Prameha,Incurable,Asādhya,Pitta and Kapha
Chronic kidney failure,Mutraghata,Incurable,Asādhya,Vata
Liver cirrhosis,Yakrut Vikara,Incurable,Asādhya,Pitta
End-stage liver failure,Yakrut Kshaya,Incurable,Asādhya,Pitta
Severe ascites,Jalodara,Incurable,Asādhya,Kapha
Persistent jaundice,Kamala,Incurable,Asādhya,Pitta
Chronic hepatitis,Yakrut Roga,Incurable,Asādhya,Pitta
Advanced tuberculosis,Rajayakshma,Incurable,Asādhya,Vata and Pitta
Chronic cough with blood,Rajayakshma,Incurable,Asādhya,Vata and Pitta
Severe breathlessness,Shvāsa,Incurable,Asādhya,Vata and Kapha
Chronic asthma,Shvāsa,Incurable,Asādhya,Vata and Kapha
End-stage COPD,Shvāsa,Incurable,Asādhya,Vata and Kapha
Emphysema,Shvāsa,Incurable,Asādhya,Vata and Kapha
Chronic heart failure,Hridroga,Incurable,Asādhya,Vata and Kapha
Severe chest pain,Hridroga,Incurable,Asādhya,Vata and Pitta
Severe hypertension,Raktagata Vata,Incurable,Asādhya,Vata and Pitta
Severe hypotension,Raktakshaya,Incurable,Asādhya,Vata
Stroke,Pakshaghata,Incurable,Asādhya,Vata
Hemiplegia,Pakshaghata,Incurable,Asādhya,Vata
Quadriplegia,Pakshaghata,Incurable,Asādhya,Vata
Parkinsonism,Kampavata,Incurable,Asādhya,Vata
Severe tremors,Kampavata,Incurable,Asādhya,Vata
Epilepsy resistant,Apasmara,Incurable,Asādhya,Vata
Severe seizures,Apasmara,Incurable,Asādhya,Vata
Chronic psychosis,Unmada,Incurable,Asādhya,Vata and Pitta
Severe schizophrenia,Unmada,Incurable,Asādhya,Vata
Severe depression,Vishada,Incurable,Asādhya,Vata and Kapha
Alzheimer’s disease,Smriti Bhramsha,Incurable,Asādhya,Vata
Advanced dementia,Smriti Kshaya,Incurable,Asādhya,Vata
Motor neuron disease,Mamsa Kshaya,Incurable,Asādhya,Vata
Multiple sclerosis,Majjagata Roga,Incurable,Asādhya,Vata
Severe paralysis,Majjagata Vata,Incurable,Asādhya,Vata
Chronic joint deformity,Amavata,Incurable,Asādhya,Vata and Kapha
Severe rheumatoid arthritis,Amavata,Incurable,Asādhya,Vata and Kapha
Advanced osteoarthritis,Sandhigata Vata,Incurable,Asādhya,Vata
Gout with deformity,Vatarakta,Incurable,Asādhya,Vata and Pitta
Chronic lupus,Kustha,Incurable,Asādhya,Pitta and Kapha
Severe psoriasis,Kustha,Incurable,Asādhya,Vata and Kapha
Leprosy,Kustha,Incurable,Asādhya,Vata and Kapha
Vitiligo resistant,Shvitra,Incurable,Asādhya,Pitta and Kapha
Severe eczema,Kustha,Incurable,Asādhya,Pitta and Kapha
Chronic fistula,Bhagandara,Incurable,Asādhya,Vata
Anal fistula,Bhagandara,Incurable,Asādhya,Vata
Rectal prolapse,Guda Roga,Incurable,Asādhya,Vata
Chronic piles,Arsha,Incurable,Asādhya,Vata and Pitta
Severe bleeding piles,Arsha,Incurable,Asādhya,Pitta
End-stage cancer,Arbuda,Incurable,Asādhya,Tridosha
Malignant tumor,Arbuda,Incurable,Asādhya,Tridosha
Metastatic disease,Arbuda,Incurable,Asādhya,Tridosha
Chronic ulcers,Dushta Vrana,Incurable,Asādhya,Pitta
Non-healing wounds,Dushta Vrana,Incurable,Asādhya,Kapha
Severe anemia,Pandu,Incurable,Asādhya,Pitta
